asrt	researchStatementLabel	claim	assertType	objectURI	valueURI	label	homepage	source	dateAnnotated	whoAnnotated	evidence	evidenceVal	evidenceRole	object	precip	numericVal	contVal	evidenceSource	evidenceType	evidenceStatement	objectDose	precipDose	numOfSubjects
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/30	diltiazem_increases_auc_triazolam	ddi-spl-annotation-claim-1	increases_auc	http://purl.obolibrary.org/obo/CHEBI_101278	http://purl.obolibrary.org/obo/CHEBI_9674	diltiazem increases the AUC of triazolam 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/diltiazem_increases_auc_triazolam.html	DIKB	"07/02/2007 17:38:07
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/39	2.835	support	TRIAZOLAM	DILTIAZEM	2.835	high	http://www.ncbi.nlm.nih.gov/pubmed/8612379	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"
Route of administration: oral

study duration: 1 day pretreatment with diltiazem given 3x/day @ 60mg PO. On day two .25mg triazolam was given PO

population: 10 subjects, male: 3 female: 7

ages: 18-31

AUC_i/AUC 0-time of measurement (17hrs): 36.0/12.7 = 2.835

AUC_i/AUC 0 -inf: 47/13.9 = 3.381

"	0.00025	0.06	10
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/33	ketoconazole_increases_auc_simvastatin	ddi-spl-annotation-claim-2	increases_auc	http://purl.obolibrary.org/obo/CHEBI_48339	http://purl.obolibrary.org/obo/CHEBI_9150	ketoconazole increases the AUC of simvastatin 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/ketoconazole_increases_auc_simvastatin.html	DIKB	"10/30/2007 11:25:31
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/42	12.55	support	SIMVASTATIN	KETOCONAZOLE	12.55	high	http://www.ncbi.nlm.nih.gov/pubmed/16580903	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_NR	"
Route of administration: oral

study duration: 40mg of simvastatin to establish baseline given two seperate times with a one day gap; after a &gt;1 week washout period participants were given 10 days treatment ketoconazole 40mg 1x/day. 40mg of simvastatin was given during this phase once on day 6 and once on day nine. 

population: 19 (20 - 1 dropout) 9 male, 10 women

ages:30-47

AUC_i/AUC (0 to infinity):12.55

description:
This study used an open-label, fixed-sequential, 3-way crossover study design. Nineteen subjects received oral doses of 0.075 mg/kg midazolam and 40 mg simvastatin during 3 phases (baseline, after inhibition with 400 mg ketoconazole for 10 days, and after induction with 600 mg rifampin [INN, rifampicin] for 9 days). Serial plasma concentrations of midazolam and simvastatin were obtained. Oral clearances of midazolam and simvastatin were compared. RESULTS: Oral midazolam clearance decreased after pretreatment with ketoconazole (from a geometric mean of 25 mL x min(-1) x kg(-1) [range, 12-57 mL x min(-1) x kg(-1)] to 2.7 mL x min(-1) x kg(-1) [range, 1.2-8.5 mL x min(-1) x kg(-1)], P &lt; .001)"	0.04	0.4	19
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/43	cimetidine_increases_auc_erythrohydrobupropion	ddi-spl-annotation-claim-3	increases_auc	http://purl.obolibrary.org/obo/CHEBI_3699	http://purl.obolibrary.org/obo/CHEBI_3699	cimetidine increases the AUC of erythrohydrobupropion 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/cimetidine_increases_auc_erythrohydrobupropion.html	DIKB	"05/14/2009 14:50:14
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/57	1.16	support	ERYTHROHYDROBUPROPION	CIMETIDINE	1.16	medium	http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c2126e2d-3b46-40dd-8168-6d0368e5d233	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#Non_traceable_Drug_Label_Statement	"
Route of administration: oral 

study duration: single dose of bupropion XR with and w/out cimetidine 

population: 24 male ages:young adult (inferred from statement) 

AUC_i/AUC: 16% increase stated --&gt; 1.16-fold increase 

Quote: The effects of concomitant administration of cimetidine on the pharmacokinetics of bupropion and its active metabolites were studied in 24 healthy young male volunteers. Following oral administration of two 150-mg Bupropion Hydrochloride Extended-Release Tablets, USP (SR) with and without 800 mg of cimetidine, the pharmacokinetics of bupropion and its hydroxy metabolite were unaffected. However, there were 16% and 32% increases, respectively, in the AUC and Cmax of the combined moieties of threohydro- and erythrohydro-bupropion."	0.3	0.8	24
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/45	clarithromycin_increases_auc_triazolam	ddi-spl-annotation-claim-4	increases_auc	http://purl.obolibrary.org/obo/CHEBI_3732	http://purl.obolibrary.org/obo/CHEBI_9674	clarithromycin increases the AUC of triazolam 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/clarithromycin_increases_auc_triazolam.html	DIKB	"06/05/2007 13:57:26
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/60	5.255	support	TRIAZOLAM	CLARITHROMYCIN	5.255	high	http://www.ncbi.nlm.nih.gov/pubmed/9757151	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"Route of administration: oral

polymorphic enzyme: NO

study duration: 1 day petreatment with clarithromycin, single dose of triazolam

population: 6 male, 6 female

ages:21-39 

AUC_i/AUC: 28.9/5.5ng/Ml*h

In a randomized, double-blind, 5-trial clinical pharmacokinetic-pharmacodynamic study, 12 volunteers received 0.125 mg triazolam orally, together with placebo, azithromycin, erythromycin, or clarithromycin....The effects of triazolam on dynamic measures were nearly identical when triazolam was given with placebo or azithromycin, but benzodiazepine agonist effects were enhanced during erythromycin and clarithromycin trials."	0.000125	0.5	12
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/70	ketoconazole_increases_auc_midazolam	ddi-spl-annotation-claim-5	increases_auc	http://purl.obolibrary.org/obo/CHEBI_48339	http://purl.obolibrary.org/obo/CHEBI_6931	ketoconazole increases the AUC of midazolam 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/ketoconazole_increases_auc_midazolam.html	DIKB	"06/05/2007 07:52:40
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/93	15.9	support	MIDAZOLAM	KETOCONAZOLE	15.9	high	http://www.ncbi.nlm.nih.gov/pubmed/8181191	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"Route of administration: oral

study duration: four days pre-treatment with ketoconazole

population: male: 2 female: 7

ages: 19-26

NOTE: AUC data taken from table 1

Interaction between ketoconazole, itraconazole, and midazolam was investigated in a double-blind, randomized crossover study of three phases at intervals of 4 weeks. Nine volunteers were given either 400 mg ketoconazole, 200 mg itraconazole, or matched placebo orally once daily for 4 days. On day 4, the subjects ingested 7.5 mg midazolam. Plasma samples were collected and psychomotor performance was measured. Both ketoconazole and itraconazole increased the area under the midazolam concentration-time curve from 10 to 15 times (p < 0.001) and mean peak concentrations three to four times (p < 0.001) compared with the placebo phase."	0.0075	0.4	9
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/91	fluvoxamine_increases_auc_tolbutamide	ddi-spl-annotation-claim-6	increases_auc	http://purl.obolibrary.org/obo/CHEBI_5138	http://purl.obolibrary.org/obo/CHEBI_27999	fluvoxamine increases the AUC of tolbutamide 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/fluvoxamine_increases_auc_tolbutamide.html	DIKB	"09/22/2010 12:59:40
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/114	1.5	support	TOLBUTAMIDE	FLUVOXAMINE	1.5	medium	http://www.ncbi.nlm.nih.gov/pubmed/11180037	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"NOTE: The AUC_i/AUC value is for the group that took 150mg of fluvoxamine and is calculated from Table I.

route of administration: oral

study duration: 5 days

population: 14 healthy volunteers, all male

tested for known CYP450 polymorphisms?
NO

ages: 21-30

description:
SUBJECTS: The study was carried out as an open, randomized, crossover design. The participants were 14 volunteers; all of the participants were men with a median age of 26 years (range, 21 to 30 years). The subjects had no known heart, liver, or kidney disease according to a clinical examination, clinical chemical and hematologic screening, and electrocardiogram. No participants consumed alcohol or drugs on a regular basis at the time of the study. The volunteers consented to participate in the study on the basis of oral and written information.

METHODS: The study was divided into two periods. In period A, all volunteers took 500 mg of tolbutamide (Tolbutamide “DAK”, Nycomed Denmark, Roskilde, Denmark) as a single oral dose. In period B, the volunteers were randomly assigned to two fluvoxamine groups. One group took 150 mg/d of fluvoxamine (Fevarin 100-mg tablets, Solvay Duphar BV, Weesp, The
Netherlands) for 5 days with a single oral dose of 500 mg of tolbutamide. The other group took a dose of 75 mg of fluvoxamine for 5 days and a single oral dose of 500 mg of tolbutamide. Period A and period B were separated by at least 1 week. Fluvoxamine was given at 20.00 hours.

RESULTS: Total tolbutamide (TB) clearance (CL_TB) was calculated as follows: CL_TB = Dose/AUC in which AUC is the area under the plasma concentration-time curve calculated by means of the trapezoidal rule with extrapolation from the last measurable concentration to infinity. Complete absorption of tolbutamide from the intestine was assumed.

The mean plasma concentration of tolbutamide versus time after a single oral dose of 500 mg of tolbutamide before (period A) and during (period B) concomitant intake of 150 mg/d or 75 mg/d of fluvoxamine is shown in Fig 2. The results of the pharmacokinetic analysis are listed in Table I. Thus the median values of the total clearance of tolbutamide were 845 and 962 mL/h in the group that received 75 mg and the group that received 150 mg, respectively, before the administration of fluvoxamine. During fluvoxamine intake, the clearance values decreased to 688 and 642 mL/h, respectively, and the decrease was statistically significant both in the group that received 75 mg and in the entire group (75 mg and 150 mg) but not in the group that received 150 mg alone. The picture was even more clear for the hydroxylation clearance, for which there was a statistically significant reduction as judged from 95% confidence intervals for the median difference not comprising zero both in the 75-mg and 150-mg fluvoxamine groups. There was a tendency toward a more marked reduction in the latter group, although the difference between the two groups (150 mg versus 75 mg in period B) did not reach a level of statistical significance (Table I).

See Table I and the equation CL_TB = Dose/AUC for more information. The AUC_i/AUC for the 150mg dose was 1.50 and for the 75mg dose was 1.22."	0.5	0.15	14
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/96	ketoconazole_increases_auc_desvenlafaxine	ddi-spl-annotation-claim-7	increases_auc	http://purl.obolibrary.org/obo/CHEBI_48339	http://purl.obolibrary.org/obo/CHEBI_48339	ketoconazole increases the AUC of desvenlafaxine 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/ketoconazole_increases_auc_desvenlafaxine.html	DIKB	"02/16/2012 21:52:08
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/121	1.43	support	DESVENLAFAXINE	KETOCONAZOLE	1.43	medium	http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0f43610c-f290-46ea-d186-4f998ed99fce	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#Non_traceable_Drug_Label_Statement	"route of administration: not mentioned

study duration: not mentioned

population: not mentioned

tested for known CYP450 polymorphisms?
NO

ages: not mentioned

Quote:
In a clinical study, ketoconazole (200 mg BID) increased the area under the concentration vs. time curve (AUC) of PRISTIQ (400 mg single dose) by about 43% and Cmax by about 8%. Concomitant use of PRISTIQ with potent inhibitors of CYP3A4 may result in higher concentrations of PRISTIQ."	0.04	0.04	
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/103	clarithromycin_increases_auc_atorvastatin	ddi-spl-annotation-claim-8	increases_auc	http://purl.obolibrary.org/obo/CHEBI_3732	http://purl.obolibrary.org/obo/CHEBI_2910	clarithromycin increases the AUC of atorvastatin 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/clarithromycin_increases_auc_atorvastatin.html	DIKB	"06/05/2007 08:47:56
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/129	1.819	support	ATORVASTATIN	CLARITHROMYCIN	5.381	high	http://www.ncbi.nlm.nih.gov/pubmed/11936570	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"
Route of administration: oral

study duration: 5 days pre-treatment with atorvastatin then 3 days atorvastatin and clarithromycin

population: 36 from which 12 were randomly chosen to receive clarithromycin, 12 to receive azithromycin, and 12 to receive placebo the study 

male: 16 or 17 female: 19 or 20 (data appears incorrect in paper)

ages: 24-33

AUC_i/AUC: 151.5/83.3ng/h/ml

This study investigated the potential for azithromycin and clarithromycin to inhibit the metabolism of atorvastatin. Although there was no interaction between azithromycin and atorvastatin, clarithromycin did have a significant effect on atorvastatin pharmacokinetic parameters. When coadministered, clarithromycin raised subject exposure (AUC24) by 82% and peak plasma concentrations by 56%. These data suggest that while azithromycin appears to be safe to coadminister with atorvastatin, clarithromycin should be avoided in patients taking this and similarly metabolized HMG-CoA inhibitors."	0.01	0.5	36
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/103	clarithromycin_increases_auc_atorvastatin	ddi-spl-annotation-claim-8	increases_auc	http://purl.obolibrary.org/obo/CHEBI_3732	http://purl.obolibrary.org/obo/CHEBI_2910	clarithromycin increases the AUC of atorvastatin 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/clarithromycin_increases_auc_atorvastatin.html	DIKB	"06/05/2007 09:07:04
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/130	5.381	support	ATORVASTATIN	CLARITHROMYCIN	5.381	high	http://www.ncbi.nlm.nih.gov/pubmed/15518608	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"oute of administration: oral

polymorphic enzyme: NO

study duration: 7 days atorvastatin only, 8 days atorvastatin and clarithromycin

dose: .050g atorvastatin1xday
.5g clarithromycin 2xday

population: 45 men and women (only 15 received atorvastatin)

ages:18-60

(mean AUC_i)/(mean AUC) = 113/21

description:
Clarithromycin significantly (p <0.001) increased the AUC (and C(max)) of all 3 statins, most markedly simvastatin ( approximately 10-fold increase in AUC) and simvastatin acid (12-fold), followed by atorvastatin (greater than fourfold) and then pravastatin (almost twofold)."	0.08	0.5	15
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/110	nefazodone_increases_auc_alprazolam	ddi-spl-annotation-claim-9	increases_auc	http://purl.obolibrary.org/obo/CHEBI_7494	http://purl.obolibrary.org/obo/CHEBI_2611	nefazodone increases the AUC of alprazolam 	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/nefazodone_increases_auc_alprazolam.html	DIKB	"10/16/2007 11:08:32
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/137	2	support	ALPRAZOLAM	NEFAZODONE	2.0	high	http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=51ff7db5-aaf9-4c3c-86e6-958ebf16b60f	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#Non_traceable_Drug_Label_Statement	"
&quot;When alprazolam (1 mg BID) and nefazodone (200 mg BID) were coadministered, steady-state peak concentrations, AUC and half-life values for alprazolam increased by approximately 2-fold. Nefazodone plasma concentrations were unaffected by alprazolam. If alprazolam is coadministered with nefazodone, a 50% reduction in the initial alprazolam dosage is recommended. No dosage adjustment is required for nefazodone.&quot;"	0.001	0.2	
